id,date,user,pc,activity
L100040,08/04/2026 01:22:00,EMP117,PC-9910,Logoff
L100041,08/03/2026 17:09:00,EMP118,PC-5022,Logon
L100042,08/04/2026 01:21:00,EMP118,PC-5022,Logoff
L100043,08/03/2026 16:03:00,EMP119,PC-3150,Logon
L100044,08/04/2026 00:35:00,EMP119,PC-3150,Logoff
L100045,08/03/2026 16:39:00,EMP120,PC-4120,Logon
L100046,08/04/2026 00:44:00,EMP120,PC-4120,Logoff
L100047,08/03/2026 17:08:00,EMP121,PC-8050,Logon
L100048,08/04/2026 01:50:00,EMP121,PC-8050,Logoff
L100049,08/03/2026 17:08:00,EMP122,PC-6150,Logon
L100050,08/04/2026 02:07:00,EMP122,PC-6150,Logoff
L100051,08/03/2026 16:42:00,EMP123,PC-4190,Logon
L100052,08/04/2026 01:34:00,EMP123,PC-4190,Logoff
L100053,08/03/2026 16:45:00,EMP124,PC-9001,Logon
L100054,08/04/2026 01:06:00,EMP124,PC-9001,Logoff
L100055,08/03/2026 16:40:00,EMP125,PC-9402,Logon
L100056,08/04/2026 01:07:00,EMP125,PC-9402,Logoff
L100057,08/03/2026 16:07:00,EMP126,PC-9945,Logon
L100058,08/04/2026 00:11:00,EMP126,PC-9945,Logoff
L100059,08/03/2026 16:22:00,EMP127,PC-1070,Logon
L100060,08/04/2026 00:35:00,EMP127,PC-1070,Logoff
L100061,08/04/2026 16:26:00,EMP101,PC-1001,Logon
L100062,08/05/2026 00:27:00,EMP101,PC-1001,Logoff
L100063,08/04/2026 17:02:00,AAF0535,PC-2408,Logon
L100064,08/05/2026 01:56:00,AAF0535,PC-2408,Logoff
L100065,08/04/2026 17:21:00,AAM0658,PC-9923,Logon
L100066,08/05/2026 01:38:00,AAM0658,PC-9923,Logoff
L100067,08/04/2026 16:16:00,BBS0039,PC-9436,Logon
L100068,08/05/2026 00:27:00,BBS0039,PC-9436,Logoff
L100069,08/04/2026 17:36:00,EMP102,PC-3012,Logon
L100070,08/05/2026 01:48:00,EMP102,PC-3012,Logoff
L100071,08/04/2026 17:39:00,EMP103,PC-4105,Logon
L100072,08/05/2026 01:59:00,EMP103,PC-4105,Logoff
L100073,08/04/2026 16:26:00,EMP104,PC-1102,Logon
L100074,08/05/2026 01:08:00,EMP104,PC-1102,Logoff
L100075,08/04/2026 17:18:00,EMP105,PC-5001,Logon
L100076,08/05/2026 01:31:00,EMP105,PC-5001,Logoff
L100077,08/04/2026 16:42:00,EMP106,PC-1088,Logon
L100078,08/05/2026 00:47:00,EMP106,PC-1088,Logoff
L100079,08/04/2026 16:01:00,EMP107,PC-6110,Logon
L100080,08/05/2026 00:03:00,EMP107,PC-6110,Logoff
L100081,08/04/2026 17:25:00,EMP108,PC-1044,Logon
L100082,08/05/2026 01:40:00,EMP108,PC-1044,Logoff
L100083,08/04/2026 17:03:00,EMP109,PC-7020,Logon
L100084,08/05/2026 01:38:00,EMP109,PC-7020,Logoff
L100085,08/04/2026 17:39:00,EMP110,PC-8005,Logon
L100086,08/05/2026 02:31:00,EMP110,PC-8005,Logoff
L100087,08/04/2026 17:40:00,EMP111,PC-3099,Logon
L100088,08/05/2026 01:55:00,EMP111,PC-3099,Logoff
L100089,08/04/2026 16:08:00,EMP112,PC-2490,Logon
L100090,08/05/2026 00:17:00,EMP112,PC-2490,Logoff
L100091,08/04/2026 17:34:00,EMP113,PC-7045,Logon
L100092,08/05/2026 02:03:00,EMP113,PC-7045,Logoff
L100093,08/04/2026 16:22:00,EMP114,PC-1250,Logon
L100094,08/05/2026 00:41:00,EMP114,PC-1250,Logoff
L100095,08/04/2026 17:31:00,EMP115,PC-6125,Logon
L100096,08/05/2026 01:32:00,EMP115,PC-6125,Logoff
L100097,08/04/2026 16:25:00,EMP116,PC-1300,Logon
L100098,08/05/2026 01:02:00,EMP116,PC-1300,Logoff
L100099,08/04/2026 16:29:00,EMP117,PC-9910,Logon
L100100,08/05/2026 00:49:00,EMP117,PC-9910,Logoff
L100101,08/04/2026 16:22:00,EMP118,PC-5022,Logon
L100102,08/05/2026 00:36:00,EMP118,PC-5022,Logoff
L100103,08/04/2026 16:36:00,EMP119,PC-3150,Logon
L100104,08/05/2026 01:36:00,EMP119,PC-3150,Logoff
L100105,08/04/2026 16:19:00,EMP120,PC-4120,Logon
L100106,08/05/2026 00:25:00,EMP120,PC-4120,Logoff
L100107,08/04/2026 16:44:00,EMP121,PC-8050,Logon
L100108,08/05/2026 01:33:00,EMP121,PC-8050,Logoff
L100109,08/04/2026 16:32:00,EMP122,PC-6150,Logon
L100110,08/05/2026 01:13:00,EMP122,PC-6150,Logoff
L100111,08/04/2026 17:11:00,EMP123,PC-4190,Logon
L100112,08/05/2026 01:57:00,EMP123,PC-4190,Logoff
L100113,08/04/2026 16:17:00,EMP124,PC-9001,Logon
L100114,08/05/2026 01:13:00,EMP124,PC-9001,Logoff
L100115,08/04/2026 16:31:00,EMP125,PC-9402,Logon
L100116,08/05/2026 00:44:00,EMP125,PC-9402,Logoff
L100117,08/04/2026 16:15:00,EMP126,PC-9945,Logon
L100118,08/05/2026 01:01:00,EMP126,PC-9945,Logoff
L100119,08/04/2026 16:18:00,EMP127,PC-1070,Logon
L100120,08/05/2026 00:32:00,EMP127,PC-1070,Logoff
L100121,08/05/2026 17:35:00,EMP101,PC-1001,Logon
L100122,08/06/2026 01:56:00,EMP101,PC-1001,Logoff
L100123,08/05/2026 16:12:00,AAF0535,PC-2408,Logon
L100124,08/06/2026 00:25:00,AAF0535,PC-2408,Logoff
L100125,08/05/2026 17:11:00,AAM0658,PC-9923,Logon
L100126,08/06/2026 01:30:00,AAM0658,PC-9923,Logoff
L100127,08/05/2026 16:40:00,BBS0039,PC-9436,Logon
L100128,08/06/2026 01:35:00,BBS0039,PC-9436,Logoff
L100129,08/05/2026 17:30:00,EMP102,PC-3012,Logon
L100130,08/06/2026 01:37:00,EMP102,PC-3012,Logoff
L100131,08/05/2026 17:05:00,EMP103,PC-4105,Logon
L100132,08/06/2026 01:20:00,EMP103,PC-4105,Logoff
L100133,08/05/2026 17:28:00,EMP104,PC-1102,Logon
L100134,08/06/2026 02:26:00,EMP104,PC-1102,Logoff
L100135,08/05/2026 16:40:00,EMP105,PC-5001,Logon
L100136,08/06/2026 00:53:00,EMP105,PC-5001,Logoff
L100137,08/05/2026 17:44:00,EMP106,PC-1088,Logon
L100138,08/06/2026 02:22:00,EMP106,PC-1088,Logoff
L100139,08/05/2026 17:40:00,EMP107,PC-6110,Logon
L100140,08/06/2026 02:17:00,EMP107,PC-6110,Logoff
L100141,08/05/2026 17:38:00,EMP108,PC-1044,Logon
L100142,08/06/2026 02:25:00,EMP108,PC-1044,Logoff
L100143,08/05/2026 17:05:00,EMP109,PC-7020,Logon
L100144,08/06/2026 01:43:00,EMP109,PC-7020,Logoff
L100145,08/05/2026 16:43:00,EMP110,PC-8005,Logon
L100146,08/06/2026 01:35:00,EMP110,PC-8005,Logoff
L100147,08/05/2026 16:37:00,EMP111,PC-3099,Logon
L100148,08/06/2026 01:04:00,EMP111,PC-3099,Logoff
L100149,08/05/2026 17:18:00,EMP112,PC-2490,Logon
L100150,08/06/2026 02:00:00,EMP112,PC-2490,Logoff
L100151,08/05/2026 16:42:00,EMP113,PC-7045,Logon
L100152,08/06/2026 01:37:00,EMP113,PC-7045,Logoff
L100153,08/05/2026 16:17:00,EMP114,PC-1250,Logon
L100154,08/06/2026 00:52:00,EMP114,PC-1250,Logoff
L100155,08/05/2026 16:19:00,EMP115,PC-6125,Logon
L100156,08/06/2026 00:54:00,EMP115,PC-6125,Logoff
L100157,08/05/2026 17:45:00,EMP116,PC-1300,Logon
L100158,08/06/2026 02:03:00,EMP116,PC-1300,Logoff
L100159,08/05/2026 16:04:00,EMP117,PC-9910,Logon
L100160,08/06/2026 00:21:00,EMP117,PC-9910,Logoff
L100161,08/05/2026 16:28:00,EMP118,PC-5022,Logon
L100162,08/06/2026 01:02:00,EMP118,PC-5022,Logoff
L100163,08/05/2026 17:14:00,EMP119,PC-3150,Logon
L100164,08/06/2026 02:08:00,EMP119,PC-3150,Logoff
L100165,08/05/2026 16:32:00,EMP120,PC-4120,Logon
L100166,08/06/2026 01:09:00,EMP120,PC-4120,Logoff
L100167,08/05/2026 16:30:00,EMP121,PC-8050,Logon
L100168,08/06/2026 01:20:00,EMP121,PC-8050,Logoff
L100169,08/05/2026 17:34:00,EMP122,PC-6150,Logon
L100170,08/06/2026 01:36:00,EMP122,PC-6150,Logoff
L100171,08/05/2026 17:10:00,EMP123,PC-4190,Logon
L100172,08/06/2026 01:54:00,EMP123,PC-4190,Logoff
L100173,08/05/2026 17:36:00,EMP124,PC-9001,Logon
L100174,08/06/2026 02:19:00,EMP124,PC-9001,Logoff
L100175,08/05/2026 17:37:00,EMP125,PC-9402,Logon
L100176,08/06/2026 01:46:00,EMP125,PC-9402,Logoff
L100177,08/05/2026 17:43:00,EMP126,PC-9945,Logon
L100178,08/06/2026 02:17:00,EMP126,PC-9945,Logoff
L100179,08/05/2026 17:19:00,EMP127,PC-1070,Logon
L100180,08/06/2026 01:31:00,EMP127,PC-1070,Logoff
L100181,08/06/2026 16:42:00,EMP101,PC-1001,Logon
L100182,08/07/2026 01:07:00,EMP101,PC-1001,Logoff
L100183,08/06/2026 17:14:00,AAF0535,PC-2408,Logon
L100184,08/07/2026 01:54:00,AAF0535,PC-2408,Logoff
L100185,08/06/2026 16:19:00,AAM0658,PC-9923,Logon
L100186,08/07/2026 01:09:00,AAM0658,PC-9923,Logoff
L100187,08/06/2026 16:12:00,BBS0039,PC-9436,Logon
L100188,08/07/2026 00:20:00,BBS0039,PC-9436,Logoff
L100189,08/06/2026 16:14:00,EMP102,PC-3012,Logon
L100190,08/07/2026 01:09:00,EMP102,PC-3012,Logoff
L100191,08/06/2026 17:43:00,EMP103,PC-4105,Logon
L100192,08/07/2026 02:30:00,EMP103,PC-4105,Logoff
L100193,08/06/2026 16:41:00,EMP104,PC-1102,Logon
L100194,08/07/2026 00:45:00,EMP104,PC-1102,Logoff
L100195,08/06/2026 16:15:00,EMP105,PC-5001,Logon
L100196,08/07/2026 01:11:00,EMP105,PC-5001,Logoff
L100197,08/06/2026 17:41:00,EMP106,PC-1088,Logon
L100198,08/07/2026 01:47:00,EMP106,PC-1088,Logoff
L100199,08/06/2026 17:06:00,EMP107,PC-6110,Logon
L100200,08/07/2026 01:49:00,EMP107,PC-6110,Logoff
L100201,08/06/2026 16:42:00,EMP108,PC-1044,Logon
L100202,08/07/2026 00:55:00,EMP108,PC-1044,Logoff
L100203,08/06/2026 16:37:00,EMP109,PC-7020,Logon
L100204,08/07/2026 00:50:00,EMP109,PC-7020,Logoff
L100205,08/06/2026 17:11:00,EMP110,PC-8005,Logon
L100206,08/07/2026 01:18:00,EMP110,PC-8005,Logoff
L100207,08/06/2026 17:33:00,EMP111,PC-3099,Logon
L100208,08/07/2026 01:40:00,EMP111,PC-3099,Logoff
L100209,08/06/2026 17:29:00,EMP112,PC-2490,Logon
L100210,08/07/2026 02:10:00,EMP112,PC-2490,Logoff
L100211,08/06/2026 16:05:00,EMP113,PC-7045,Logon
L100212,08/07/2026 00:25:00,EMP113,PC-7045,Logoff
L100213,08/06/2026 17:29:00,EMP114,PC-1250,Logon
L100214,08/07/2026 02:01:00,EMP114,PC-1250,Logoff
L100215,08/06/2026 17:21:00,EMP115,PC-6125,Logon
L100216,08/07/2026 02:13:00,EMP115,PC-6125,Logoff
L100217,08/06/2026 17:04:00,EMP116,PC-1300,Logon
L100218,08/07/2026 01:09:00,EMP116,PC-1300,Logoff
L100219,08/06/2026 17:42:00,EMP117,PC-9910,Logon
L100220,08/07/2026 01:49:00,EMP117,PC-9910,Logoff
L100221,08/06/2026 16:36:00,EMP118,PC-5022,Logon
L100222,08/07/2026 01:08:00,EMP118,PC-5022,Logoff
L100223,08/06/2026 17:07:00,EMP119,PC-3150,Logon
L100224,08/07/2026 01:55:00,EMP119,PC-3150,Logoff
L100225,08/06/2026 16:11:00,EMP120,PC-4120,Logon
L100226,08/07/2026 00:28:00,EMP120,PC-4120,Logoff
L100227,08/06/2026 16:05:00,EMP121,PC-8050,Logon
L100228,08/07/2026 00:52:00,EMP121,PC-8050,Logoff
L100229,08/06/2026 16:09:00,EMP122,PC-6150,Logon
L100230,08/07/2026 00:19:00,EMP122,PC-6150,Logoff
L100231,08/06/2026 16:32:00,EMP123,PC-4190,Logon
L100232,08/07/2026 00:39:00,EMP123,PC-4190,Logoff
L100233,08/06/2026 16:14:00,EMP124,PC-9001,Logon
L100234,08/07/2026 00:39:00,EMP124,PC-9001,Logoff
L100235,08/06/2026 17:11:00,EMP125,PC-9402,Logon
L100236,08/07/2026 01:19:00,EMP125,PC-9402,Logoff
L100237,08/06/2026 17:01:00,EMP126,PC-9945,Logon
L100238,08/07/2026 01:30:00,EMP126,PC-9945,Logoff
L100239,08/06/2026 17:01:00,EMP127,PC-1070,Logon
L100240,08/07/2026 01:21:00,EMP127,PC-1070,Logoff
L100241,08/07/2026 16:27:00,EMP101,PC-1001,Logon
L100242,08/08/2026 01:04:00,EMP101,PC-1001,Logoff
L100243,08/07/2026 16:32:00,AAF0535,PC-2408,Logon
L100244,08/08/2026 01:12:00,AAF0535,PC-2408,Logoff
L100245,08/07/2026 16:16:00,AAM0658,PC-9923,Logon
L100246,08/08/2026 00:28:00,AAM0658,PC-9923,Logoff
L100247,08/07/2026 17:36:00,BBS0039,PC-9436,Logon
L100248,08/08/2026 02:24:00,BBS0039,PC-9436,Logoff
L100249,08/07/2026 17:28:00,EMP102,PC-3012,Logon
L100250,08/08/2026 02:08:00,EMP102,PC-3012,Logoff
L100251,08/07/2026 16:23:00,EMP103,PC-4105,Logon
L100252,08/08/2026 01:16:00,EMP103,PC-4105,Logoff
L100253,08/07/2026 16:28:00,EMP104,PC-1102,Logon
L100254,08/08/2026 01:26:00,EMP104,PC-1102,Logoff
L100255,08/07/2026 16:32:00,EMP105,PC-5001,Logon
L100256,08/08/2026 01:13:00,EMP105,PC-5001,Logoff
L100257,08/07/2026 17:23:00,EMP106,PC-1088,Logon
L100258,08/08/2026 02:21:00,EMP106,PC-1088,Logoff
L100259,08/07/2026 16:35:00,EMP107,PC-6110,Logon
L100260,08/08/2026 01:18:00,EMP107,PC-6110,Logoff
L100261,08/07/2026 17:19:00,EMP108,PC-1044,Logon
L100262,08/08/2026 02:00:00,EMP108,PC-1044,Logoff
L100263,08/07/2026 16:41:00,EMP109,PC-7020,Logon
L100264,08/08/2026 01:23:00,EMP109,PC-7020,Logoff
L100265,08/07/2026 16:14:00,EMP110,PC-8005,Logon
L100266,08/08/2026 00:22:00,EMP110,PC-8005,Logoff
L100267,08/07/2026 16:38:00,EMP111,PC-3099,Logon
L100268,08/08/2026 01:02:00,EMP111,PC-3099,Logoff
L100269,08/07/2026 17:43:00,EMP112,PC-2490,Logon
L100270,08/08/2026 02:29:00,EMP112,PC-2490,Logoff
L100271,08/07/2026 17:30:00,EMP113,PC-7045,Logon
L100272,08/08/2026 02:27:00,EMP113,PC-7045,Logoff
L100273,08/07/2026 17:10:00,EMP114,PC-1250,Logon
L100274,08/08/2026 02:02:00,EMP114,PC-1250,Logoff
L100275,08/07/2026 16:45:00,EMP115,PC-6125,Logon
L100276,08/08/2026 01:39:00,EMP115,PC-6125,Logoff
L100277,08/07/2026 17:22:00,EMP116,PC-1300,Logon
L100278,08/08/2026 02:21:00,EMP116,PC-1300,Logoff
L100279,08/07/2026 17:14:00,EMP117,PC-9910,Logon
L100280,08/08/2026 01:15:00,EMP117,PC-9910,Logoff
L100281,08/07/2026 16:45:00,EMP118,PC-5022,Logon
L100282,08/08/2026 01:15:00,EMP118,PC-5022,Logoff
L100283,08/07/2026 17:07:00,EMP119,PC-3150,Logon
L100284,08/08/2026 01:56:00,EMP119,PC-3150,Logoff
L100285,08/07/2026 16:31:00,EMP120,PC-4120,Logon
L100286,08/08/2026 01:09:00,EMP120,PC-4120,Logoff
L100287,08/07/2026 16:36:00,EMP121,PC-8050,Logon
L100288,08/08/2026 01:02:00,EMP121,PC-8050,Logoff
L100289,08/07/2026 16:24:00,EMP122,PC-6150,Logon
L100290,08/08/2026 01:19:00,EMP122,PC-6150,Logoff
L100291,08/07/2026 17:15:00,EMP123,PC-4190,Logon
L100292,08/08/2026 02:01:00,EMP123,PC-4190,Logoff
L100293,08/07/2026 17:44:00,EMP124,PC-9001,Logon
L100294,08/08/2026 02:14:00,EMP124,PC-9001,Logoff
L100295,08/07/2026 17:19:00,EMP125,PC-9402,Logon
L100296,08/08/2026 01:51:00,EMP125,PC-9402,Logoff
L100297,08/07/2026 17:17:00,EMP126,PC-9945,Logon
L100298,08/08/2026 01:24:00,EMP126,PC-9945,Logoff
L100299,08/07/2026 17:33:00,EMP127,PC-1070,Logon
L100300,08/08/2026 01:50:00,EMP127,PC-1070,Logoff
L100301,08/08/2026 22:21:00,AAF0535,PC-2408,Logon
L100302,08/08/2026 22:59:00,AAF0535,PC-2408,Logoff
L100303,08/08/2026 22:27:00,EMP105,PC-5001,Logon
L100304,08/08/2026 23:09:00,EMP105,PC-5001,Logoff
L100305,08/08/2026 22:21:00,EMP110,PC-8005,Logon
L100306,08/08/2026 23:21:00,EMP110,PC-8005,Logoff
L100307,08/08/2026 22:27:00,EMP115,PC-6125,Logon
L100308,08/08/2026 23:25:00,EMP115,PC-6125,Logoff
L100309,08/08/2026 22:04:00,EMP123,PC-4190,Logon
L100310,08/08/2026 22:52:00,EMP123,PC-4190,Logoff
L100311,08/09/2026 22:21:00,EMP119,PC-3150,Logon
L100312,08/09/2026 23:01:00,EMP119,PC-3150,Logoff
L100313,08/10/2026 16:23:00,EMP101,PC-1001,Logon
L100314,08/11/2026 00:55:00,EMP101,PC-1001,Logoff
L100315,08/10/2026 17:29:00,AAF0535,PC-2408,Logon
L100316,08/11/2026 02:20:00,AAF0535,PC-2408,Logoff
L100317,08/10/2026 16:08:00,AAM0658,PC-9923,Logon
L100318,08/11/2026 00:28:00,AAM0658,PC-9923,Logoff
L100319,08/10/2026 17:32:00,BBS0039,PC-9436,Logon
L100320,08/11/2026 02:30:00,BBS0039,PC-9436,Logoff
L100321,08/10/2026 17:33:00,EMP102,PC-3012,Logon
L100322,08/11/2026 02:30:00,EMP102,PC-3012,Logoff
L100323,08/10/2026 16:32:00,EMP103,PC-4105,Logon
L100324,08/11/2026 01:13:00,EMP103,PC-4105,Logoff
L100325,08/10/2026 16:01:00,EMP104,PC-1102,Logon
L100326,08/11/2026 00:06:00,EMP104,PC-1102,Logoff
L100327,08/10/2026 17:40:00,EMP105,PC-5001,Logon
L100328,08/11/2026 02:14:00,EMP105,PC-5001,Logoff
L100329,08/10/2026 16:28:00,EMP106,PC-1088,Logon
L100330,08/11/2026 00:54:00,EMP106,PC-1088,Logoff
L100331,08/10/2026 17:32:00,EMP107,PC-6110,Logon
L100332,08/11/2026 02:07:00,EMP107,PC-6110,Logoff
L100333,08/10/2026 16:03:00,EMP108,PC-1044,Logon
L100334,08/11/2026 00:21:00,EMP108,PC-1044,Logoff
L100335,08/10/2026 17:32:00,EMP109,PC-7020,Logon
L100336,08/11/2026 02:01:00,EMP109,PC-7020,Logoff
L100337,08/10/2026 16:03:00,EMP110,PC-8005,Logon
L100338,08/11/2026 00:21:00,EMP110,PC-8005,Logoff
L100339,08/10/2026 17:23:00,EMP111,PC-3099,Logon
L100340,08/11/2026 02:11:00,EMP111,PC-3099,Logoff
L100341,08/10/2026 16:24:00,EMP112,PC-2490,Logon
L100342,08/11/2026 00:56:00,EMP112,PC-2490,Logoff
L100343,08/10/2026 17:35:00,EMP113,PC-7045,Logon
L100344,08/11/2026 02:35:00,EMP113,PC-7045,Logoff
L100345,08/10/2026 16:45:00,EMP114,PC-1250,Logon
L100346,08/11/2026 01:06:00,EMP114,PC-1250,Logoff
L100347,08/10/2026 17:39:00,EMP115,PC-6125,Logon
L100348,08/11/2026 02:26:00,EMP115,PC-6125,Logoff
L100349,08/10/2026 17:21:00,EMP116,PC-1300,Logon
L100350,08/11/2026 02:04:00,EMP116,PC-1300,Logoff
L100351,08/10/2026 17:41:00,EMP117,PC-9910,Logon
L100352,08/11/2026 02:31:00,EMP117,PC-9910,Logoff
L100353,08/10/2026 16:43:00,EMP118,PC-5022,Logon
L100354,08/11/2026 00:58:00,EMP118,PC-5022,Logoff
L100355,08/10/2026 16:26:00,EMP119,PC-3150,Logon
L100356,08/11/2026 01:10:00,EMP119,PC-3150,Logoff
L100357,08/10/2026 17:42:00,EMP120,PC-4120,Logon
L100358,08/11/2026 02:12:00,EMP120,PC-4120,Logoff
L100359,08/10/2026 16:15:00,EMP121,PC-8050,Logon
L100360,08/11/2026 00:32:00,EMP121,PC-8050,Logoff
L100361,08/10/2026 17:18:00,EMP122,PC-6150,Logon
L100362,08/11/2026 01:25:00,EMP122,PC-6150,Logoff
L100363,08/10/2026 17:30:00,EMP123,PC-4190,Logon
L100364,08/11/2026 01:43:00,EMP123,PC-4190,Logoff
L100365,08/10/2026 16:03:00,EMP124,PC-9001,Logon
L100366,08/11/2026 00:45:00,EMP124,PC-9001,Logoff
L100367,08/10/2026 16:35:00,EMP125,PC-9402,Logon
L100368,08/11/2026 01:34:00,EMP125,PC-9402,Logoff
L100369,08/10/2026 17:18:00,EMP126,PC-9945,Logon
L100370,08/11/2026 01:59:00,EMP126,PC-9945,Logoff
L100371,08/10/2026 17:11:00,EMP127,PC-1070,Logon
L100372,08/11/2026 02:10:00,EMP127,PC-1070,Logoff
L100373,08/11/2026 16:21:00,EMP101,PC-1001,Logon
L100374,08/12/2026 00:39:00,EMP101,PC-1001,Logoff
L100375,08/11/2026 17:10:00,AAF0535,PC-2408,Logon
L100376,08/12/2026 01:56:00,AAF0535,PC-2408,Logoff
L100377,08/11/2026 16:39:00,AAM0658,PC-9923,Logon
L100378,08/12/2026 01:33:00,AAM0658,PC-9923,Logoff
L100379,08/11/2026 16:00:00,BBS0039,PC-9436,Logon
L100380,08/12/2026 00:16:00,BBS0039,PC-9436,Logoff
L100381,08/11/2026 17:44:00,EMP102,PC-3012,Logon
L100382,08/12/2026 01:59:00,EMP102,PC-3012,Logoff
L100383,08/11/2026 17:44:00,EMP103,PC-4105,Logon
L100384,08/12/2026 01:51:00,EMP103,PC-4105,Logoff
L100385,08/11/2026 17:34:00,EMP104,PC-1102,Logon
L100386,08/12/2026 02:25:00,EMP104,PC-1102,Logoff
L100387,08/11/2026 16:35:00,EMP105,PC-5001,Logon
L100388,08/12/2026 01:32:00,EMP105,PC-5001,Logoff
L100389,08/11/2026 16:32:00,EMP106,PC-1088,Logon
L100390,08/12/2026 01:00:00,EMP106,PC-1088,Logoff
L100391,08/11/2026 17:01:00,EMP107,PC-6110,Logon
L100392,08/12/2026 01:26:00,EMP107,PC-6110,Logoff
L100393,08/11/2026 16:04:00,EMP108,PC-1044,Logon
L100394,08/12/2026 01:03:00,EMP108,PC-1044,Logoff
L100395,08/11/2026 17:24:00,EMP109,PC-7020,Logon
L100396,08/12/2026 01:48:00,EMP109,PC-7020,Logoff
L100397,08/11/2026 17:33:00,EMP110,PC-8005,Logon
L100398,08/12/2026 01:41:00,EMP110,PC-8005,Logoff
L100399,08/11/2026 16:15:00,EMP111,PC-3099,Logon
L100400,08/12/2026 00:44:00,EMP111,PC-3099,Logoff
L100401,08/11/2026 16:13:00,EMP112,PC-2490,Logon
L100402,08/12/2026 00:17:00,EMP112,PC-2490,Logoff
L100403,08/11/2026 17:28:00,EMP113,PC-7045,Logon
L100404,08/12/2026 01:42:00,EMP113,PC-7045,Logoff
L100405,08/11/2026 16:19:00,EMP114,PC-1250,Logon
L100406,08/12/2026 01:15:00,EMP114,PC-1250,Logoff
L100407,08/11/2026 16:40:00,EMP115,PC-6125,Logon
L100408,08/12/2026 01:23:00,EMP115,PC-6125,Logoff
L100409,08/11/2026 17:09:00,EMP116,PC-1300,Logon
L100410,08/12/2026 01:28:00,EMP116,PC-1300,Logoff
L100411,08/11/2026 17:26:00,EMP117,PC-9910,Logon
L100412,08/12/2026 02:01:00,EMP117,PC-9910,Logoff
L100413,08/11/2026 16:03:00,EMP118,PC-5022,Logon
L100414,08/12/2026 00:20:00,EMP118,PC-5022,Logoff
L100415,08/11/2026 16:21:00,EMP119,PC-3150,Logon
L100416,08/12/2026 00:40:00,EMP119,PC-3150,Logoff
L100417,08/11/2026 17:15:00,EMP120,PC-4120,Logon
L100418,08/12/2026 01:50:00,EMP120,PC-4120,Logoff
L100419,08/11/2026 17:29:00,EMP121,PC-8050,Logon
L100420,08/12/2026 01:35:00,EMP121,PC-8050,Logoff
L100421,08/11/2026 17:18:00,EMP122,PC-6150,Logon
L100422,08/12/2026 01:27:00,EMP122,PC-6150,Logoff
L100423,08/11/2026 17:31:00,EMP123,PC-4190,Logon
L100424,08/12/2026 02:17:00,EMP123,PC-4190,Logoff
L100425,08/11/2026 16:33:00,EMP124,PC-9001,Logon
L100426,08/12/2026 00:35:00,EMP124,PC-9001,Logoff
L100427,08/11/2026 16:13:00,EMP125,PC-9402,Logon
L100428,08/12/2026 00:45:00,EMP125,PC-9402,Logoff
