file_id,owning_department,sensitivity
SA50854,Finance,Public
AT18983,Support,Public
YZ16752,IT,Internal
NP08604,Sales,Internal
VC92254,Engineering,Confidential
VN34499,IT,Internal
LA38706,Legal,Restricted
GC90426,Finance,Internal
AU83634,Engineering,Internal
GV14435,Legal,Confidential
XD20263,Sales,Public
KX42005,Support,Internal
GY59335,IT,Internal
JF22043,Support,Public
CZ29645,Sales,Public
EU51295,Engineering,Internal
YE20634,IT,Restricted
JA42711,Support,Internal
FM46573,DevOps,Internal
YV50197,Legal,Public
TN55021,Engineering,Public
UQ55175,Finance,Restricted
NW66531,DevOps,Confidential
RP20761,Sales,Internal
TP35670,Sales,Internal
XS24396,Finance,Confidential
JW59679,HR,Public
PR01628,Engineering,Confidential
XU21425,Support,Internal
UX00017,Finance,Restricted
KR80764,Support,Internal
TZ38566,Sales,Internal
UA51006,DevOps,Public
BQ51289,Finance,Restricted
GP15970,HR,Public
QR64584,Support,Public
ER01777,IT,Internal
RD96409,DevOps,Internal
FM97616,Engineering,Internal
KU21407,Finance,Internal
EX56876,HR,Confidential
WU55698,Support,Internal
VA33009,DevOps,Confidential
ZG69727,Support,Public
XA16093,Engineering,Public
KV16192,IT,Public
LJ00961,Sales,Public
ES78905,Support,Internal
KN42309,IT,Internal
PW87938,DevOps,Confidential
JZ30283,Engineering,Restricted
BB76741,Legal,Confidential
BZ52567,IT,Internal
CM65426,DevOps,Confidential
KL96263,DevOps,Internal
WG85072,Engineering,Internal
TV73536,Finance,Confidential
FK39120,IT,Public
NW64298,DevOps,Internal
NR70152,Engineering,Public
VR62044,Support,Internal
VR06300,IT,Internal
BX66617,HR,Restricted
PU75532,Support,Public
LS79311,HR,Internal
WU33476,Sales,Confidential
YF28761,Finance,Public
CY00211,IT,Public
UN15779,Engineering,Internal
LN35850,Sales,Public
SF03336,IT,Public
SY40059,Support,Internal
ZD30279,DevOps,Confidential
XT45986,IT,Internal
GL54737,Engineering,Internal
VG12752,Finance,Internal
YV52038,IT,Public
ZL19990,IT,Restricted
EC65793,IT,Confidential
DZ05758,Legal,Restricted
FG84244,IT,Public
AN38985,Sales,Internal
XM53257,Engineering,Confidential
UD21580,Sales,Restricted
UY59406,Legal,Confidential
TG28643,Finance,Confidential
BQ03307,Support,Internal
HJ24616,IT,Confidential
BT82651,IT,Internal
NP89529,Sales,Public
CK81398,Sales,Restricted
XY74143,Sales,Confidential
PN20774,Finance,Internal
LF83764,Sales,Public
JX37506,DevOps,Public
XT06291,HR,Public
US78245,Finance,Internal
CX89803,Engineering,Restricted
ZZ93202,Engineering,Confidential
TD26373,Support,Internal
EE24193,DevOps,Internal
ZX27657,Sales,Public
BG26639,Sales,Public
GS47090,DevOps,Public
JT25129,Legal,Confidential
PJ87392,Sales,Internal
DY67274,HR,Confidential
MS47640,Support,Internal
JE32463,DevOps,Restricted
BP16166,Engineering,Internal
WH01069,Sales,Public
HU73128,Engineering,Confidential
HL44957,DevOps,Confidential
UG66490,Engineering,Restricted
VY03013,Legal,Confidential
XU45175,DevOps,Restricted
PU39827,Engineering,Confidential
ST71822,Engineering,Internal
VF27548,Sales,Public
VF91831,Support,Internal
FC01403,Sales,Public
NA46941,DevOps,Internal
HC17577,DevOps,Internal
GG76430,DevOps,Internal
TH13435,Support,Internal
HT66498,IT,Internal
KZ62228,Engineering,Internal
YX18096,Engineering,Confidential
VE66621,Engineering,Public
ED68189,HR,Internal
DP32588,Sales,Internal
UN73319,Engineering,Internal
PH77552,DevOps,Public
RZ18955,DevOps,Public
XE14857,DevOps,Restricted
UL27668,Sales,Public
PV24583,Finance,Restricted
UG08657,Engineering,Confidential
GU85639,Engineering,Internal
SP43436,HR,Confidential
ND25796,Engineering,Confidential
YW95714,Finance,Confidential
HG62349,Sales,Public
TK18772,Sales,Confidential
UU17994,DevOps,Restricted
NT40835,Sales,Public
JT55664,Sales,Internal
LX55809,Sales,Restricted
TT68939,Engineering,Restricted
JD59410,HR,Confidential
HM28050,Sales,Internal
WA40464,Sales,Confidential
PP93396,Support,Public
HX19764,Engineering,Public
YJ58524,Legal,Confidential
CF40898,Finance,Confidential
XE13474,DevOps,Public
DE78376,Finance,Internal
SN53640,Finance,Restricted
TZ22517,HR,Internal
PG89025,Sales,Internal
ZL66121,DevOps,Confidential
LJ98583,Sales,Public
DP25978,Support,Public
RK13866,Support,Internal
ZN00914,HR,Internal
XB78301,Support,Public
BZ37054,IT,Public
ZW34656,Support,Internal
QC84659,Engineering,Internal
RE94683,Sales,Public
LJ20697,Sales,Internal
SK08734,Support,Internal
KU79271,Engineering,Internal
BD83403,DevOps,Internal
HP78074,DevOps,Public
QK63722,Engineering,Confidential
YF98684,Support,Confidential
DZ11971,Sales,Public
DS57905,HR,Confidential
SX41995,Engineering,Internal
JL64987,Legal,Confidential
HS06392,DevOps,Restricted
LP47898,DevOps,Internal
KY46109,Engineering,Internal
MV90715,Engineering,Public
JJ59403,Sales,Internal
NY04682,Support,Public
AX41057,IT,Internal
LE17746,Sales,Internal
UY12561,Engineering,Internal
JN68504,Engineering,Public
SK94766,Legal,Public
LF34459,Engineering,Internal
LG86528,IT,Internal
NV67226,Sales,Internal
VA22499,Engineering,Confidential
PZ78239,Engineering,Internal
UW27200,Finance,Public
ES22052,Finance,Confidential
DK37318,Engineering,Public
KQ75673,DevOps,Confidential
MK63414,Engineering,Internal
YB39405,Support,Internal
MX19378,Support,Public
WQ97452,DevOps,Restricted
JA79413,Sales,Internal
YG86279,IT,Public
RS18209,DevOps,Internal
AC91772,Engineering,Public
VB68758,Finance,Confidential
VX95156,Sales,Internal
TV82284,HR,Public
KF47309,Engineering,Public
XD85216,Engineering,Internal
NJ15977,DevOps,Public
FZ05312,Engineering,Confidential
UT29237,Sales,Public
WJ78630,DevOps,Internal
FH95782,IT,Public
YA42677,IT,Public
XP70569,HR,Internal
KB19255,Engineering,Internal
LD23652,Engineering,Internal
WP33782,Engineering,Confidential
RN33826,Engineering,Public
JC40393,IT,Public
VU02182,DevOps,Confidential
RK94827,Engineering,Internal
VH73925,Sales,Public
JD03854,IT,Internal
ZT24128,Support,Public
RF29286,Legal,Restricted
FY37485,HR,Confidential
VT68498,Engineering,Internal
WH88690,IT,Internal
HM91899,Support,Public
CT81379,Sales,Confidential
DB05596,Sales,Internal
KY75575,IT,Internal
TP41773,Engineering,Internal
VZ78001,Engineering,Internal
BF67823,DevOps,Public
DW69355,DevOps,Internal
EG99031,Engineering,Confidential
XZ40479,IT,Public
JF59226,Engineering,Internal
QS23373,Sales,Confidential
ZU02161,Engineering,Public
KQ20131,Finance,Public
QB38576,Engineering,Confidential
SF93440,Sales,Confidential
ZZ00588,Sales,Public
NQ05407,DevOps,Confidential
VY60305,Engineering,Internal
SG63617,Sales,Internal
YY62120,IT,Internal
YV43025,Sales,Public
SH77525,Engineering,Confidential
WX64451,Engineering,Public
SW16862,HR,Confidential
FU22023,Support,Public
QG57163,IT,Public
FF68767,IT,Public
XD69137,HR,Internal
RZ61263,Legal,Confidential
JX86477,IT,Confidential
XS56030,DevOps,Public
BM48405,IT,Restricted
KC81683,DevOps,Public
WU87398,Support,Internal
TY10810,Sales,Confidential
HU73861,Engineering,Public
AP09711,Engineering,Internal
SY56200,Engineering,Internal
UU89579,DevOps,Public
HK65533,Engineering,Confidential
NB57387,Support,Public
SB57869,Sales,Public
BV00946,Support,Public
HV24507,DevOps,Restricted
CA05969,Support,Public
ZV51010,DevOps,Confidential
ML48222,IT,Internal
XB89711,IT,Confidential
MD96787,Support,Public
UH30608,Sales,Internal
DP50898,Engineering,Public
PN87149,HR,Internal
XC78978,Sales,Public
FY15731,Finance,Public
KK71185,Support,Internal
UF18429,HR,Public
YY96151,Finance,Confidential
WH20222,Engineering,Public
DB73283,IT,Internal
AT94141,Sales,Internal
GM96360,Finance,Internal
YD36042,Sales,Public
VB99699,Legal,Internal
VZ16463,Finance,Internal
JD09240,IT,Confidential
QL74100,Sales,Confidential
FE72673,Sales,Confidential
UK07137,Legal,Internal
HF03760,DevOps,Internal
SD39804,IT,Confidential
JA45489,Finance,Internal
AX01645,Support,Confidential
WC79158,Support,Public
PP31251,IT,Public
PW48226,IT,Confidential
RH26181,HR,Confidential
XP21833,IT,Internal
XM03737,Support,Public
LA34489,DevOps,Internal
ZD86099,Support,Internal
WE53270,Finance,Confidential
GY32683,Support,Internal
CF89318,IT,Public
